id,topic,description,created_at,updated_at,deleted_at
CDT0001,Daur Ulang Plastik,"Proses daur ulang plastik melibatkan pengumpulan sampah plastik, pembersihan, penghancuran menjadi serpihan kecil, dan kemudian melelehkannya untuk dibentuk menjadi produk baru. Plastik yang dapat didaur ulang termasuk botol air, wadah makanan, dan kantong belanja tertentu.",2024-06-15 13:03:33.958,2024-06-15 13:03:33.958,
CDT0002,Pemanfaatan Sampah Organik,Sampah organik seperti sisa makanan dan daun dapat diubah menjadi kompos yang berguna sebagai pupuk alami. Proses ini melibatkan penguraian bahan organik oleh mikroorganisme dalam kondisi yang terkontrol.,2024-06-15 13:03:33.963,2024-06-15 13:03:33.963,
CDT0003,Pengelolaan Sampah Elektronik,"Sampah elektronik seperti ponsel lama, komputer, dan televisi harus dibawa ke pusat daur ulang elektronik. Komponen-komponen berharga seperti logam mulia bisa diekstraksi dan digunakan kembali, sementara bahan berbahaya dikelola dengan aman.",2024-06-15 13:03:33.968,2024-06-15 13:03:33.968,
CDT0004,Kompetisi Pengurangan Sampah,Kompetisi ini mengajak masyarakat untuk mengurangi sampah yang mereka hasilkan dalam periode tertentu. Pemenang akan ditentukan berdasarkan jumlah sampah yang berhasil dikurangi dan kreativitas dalam mendaur ulang atau mengurangi penggunaan barang sekali pakai.,2024-06-15 13:03:33.971,2024-06-15 13:03:33.971,
CDT0005,Melaporkan Sampah yang Tidak pada Tempatnya,"Pengguna aplikasi dapat melaporkan sampah yang ditemukan di tempat umum yang tidak sesuai. Laporan harus mencakup foto, lokasi, dan jenis sampah. Tim kebersihan akan diberitahu untuk mengambil tindakan.",2024-06-15 13:03:33.976,2024-06-15 13:03:33.976,
CDT0006,Daur Ulang Kertas,"Kertas dapat didaur ulang menjadi produk baru dengan cara dikumpulkan, dipisahkan berdasarkan jenis, dihancurkan menjadi pulp, kemudian dibersihkan dan diproses menjadi kertas baru. Produk seperti koran, majalah, dan karton sering kali dapat didaur ulang.",2024-06-15 13:03:33.980,2024-06-15 13:03:33.980,
CDT0007,Penggunaan Ulang Barang Bekas,"Banyak barang bekas seperti pakaian, furnitur, dan alat rumah tangga masih bisa digunakan kembali. Dengan sedikit kreativitas, barang-barang ini bisa diperbaiki atau dimodifikasi untuk digunakan kembali, mengurangi jumlah sampah yang berakhir di tempat pembuangan akhir.",2024-06-15 13:03:33.984,2024-06-15 13:03:33.984,
CDT0008,Pengelolaan Sampah Anorganik,"Sampah anorganik seperti kaca, logam, dan beberapa jenis plastik bisa didaur ulang. Pengelolaan yang tepat melibatkan pemisahan berdasarkan jenis bahan, pembersihan, dan pengiriman ke fasilitas daur ulang yang sesuai.",2024-06-15 13:03:33.988,2024-06-15 13:03:33.988,
CDT0009,Dampak Lingkungan dari Sampah Plastik,"Sampah plastik yang tidak terkelola dengan baik bisa mencemari lingkungan, termasuk lautan. Plastik membutuhkan ratusan tahun untuk terurai dan bisa membahayakan kehidupan laut. Mengurangi penggunaan plastik sekali pakai dan mendaur ulang plastik yang ada adalah langkah penting untuk mengatasi masalah ini.",2024-06-15 13:03:33.992,2024-06-15 13:03:33.992,
CDT0010,Teknologi Baru dalam Daur Ulang,Teknologi baru seperti pemanfaatan enzim untuk mendaur ulang plastik dan penggunaan sensor untuk pengelolaan sampah cerdas sedang dikembangkan. Teknologi ini bertujuan untuk meningkatkan efisiensi proses daur ulang dan mengurangi jumlah sampah yang tidak terkelola dengan baik.,2024-06-15 13:03:33.995,2024-06-15 13:03:33.995,
CDT0011,Test Update Topic 11,Test Update Description 11,2024-06-16 10:04:40.607,2024-06-18 11:50:23.413,
CDT0012,Test,Test123,2024-06-16 11:06:55.275,2024-06-16 11:06:55.275,2024-06-16 12:08:05.522
CDT0013,Test1,Test2,2024-06-16 11:08:21.144,2024-06-16 11:08:21.144,2024-06-16 12:08:01.519
CDT0014,Test12345,Test12345,2024-06-16 11:53:57.730,2024-06-16 11:54:28.387,2024-06-16 12:07:58.744
CDT0015,Test123,Test123,2024-06-16 11:54:54.471,2024-06-16 11:54:54.471,2024-06-16 12:07:55.228
CDT0016,Test,Test,2024-06-16 11:56:31.682,2024-06-16 11:56:55.662,2024-06-16 12:07:48.716
CDT0017,Test12345,Test12345,2024-06-16 12:08:33.976,2024-06-16 12:08:42.169,2024-06-16 12:10:28.330
CDT0018,Test123,Test123,2024-06-16 12:14:12.728,2024-06-16 12:14:12.728,2024-06-16 12:15:06.252
CDT0019,Test 123456,Test Aja Lagi 123456,2024-06-16 12:15:17.981,2024-06-18 11:47:32.030,
CDT0020,test,test123,2024-06-18 11:44:23.966,2024-06-18 11:44:23.966,2024-06-18 16:41:48.062
CDT0021,Test Topic,Test Description test,2024-06-18 11:50:37.476,2024-06-18 12:52:41.779,
CDT0022,test,test,2024-06-18 16:39:07.352,2024-06-18 16:39:07.352,2024-06-18 16:40:09.782
CDT0023,test123,test123,2024-06-18 16:39:45.818,2024-06-18 16:39:45.818,2024-06-18 16:39:49.630
CDT0024,test,test,2024-06-18 16:42:20.721,2024-06-18 16:42:20.721,2024-06-18 16:42:24.536
CDT0025,test,test,2024-06-18 16:42:39.772,2024-06-18 16:42:39.772,2024-06-18 16:42:48.856
CDT0026,test,test,2024-06-18 16:43:53.407,2024-06-18 16:43:53.407,2024-06-18 16:44:01.757
CDT0027,test123,test123,2024-06-18 16:44:51.668,2024-06-18 16:44:51.668,2024-06-18 16:44:56.019
CDT0028,test123,test12345,2024-06-18 16:46:25.298,2024-06-18 16:46:32.040,2024-06-18 16:46:39.933
